,Tweet,Date
36,"RT @CInvestCEO: #BITCOIN GIVEAWAY to Win
.        🔥$100 You Must🔥
.
1. Like❤Retweet 💰
2. Follow @CInvestCEO 👈
3. Tag 5 Friends
.
DO U LIKE…",2020-02-11 23:58:50
37,@chadgoe Sent to indeterminate rehab due to liver failure &amp; severe alcohol poisoning. 😂,2020-02-11 23:58:45
38,RT @NewsAsset: #JPMorgan Bank and 40+ German Banks have a severe case of FOMO for #ethereum #bitcoin #xrp #xrpcommmunity #xrparmy - https:/…,2020-02-11 23:58:44
39,"Binance
$LINK/BTC All take-profit targets achieved 😎
Profit: 30.2366% 📈
Period: 9 Days 14 Hours 31 Minutes ⏰ To joi… https://t.co/a3UnZ4WUHt",2020-02-11 23:58:41
40,"When Lambo ? 

#Crypto #XRPCommunity #xrpthestandard #xrparmy #btc #Bitcoin #vet #love #lambo",2020-02-11 23:58:40
41,"RT @CryptoPLeague: 📢 $100 $BTC #GIVEAWAY 👇

1️⃣. Follow @CryptoPLeague
2️⃣. Like, RT &amp; tag 3 friends
3️⃣. Like &amp; RT this tweet:
https://t.c…",2020-02-11 23:58:36
42,"Cant stop listening to this song right now, with  #Bitcoin and alts going absolutely crazy! This feeling :)

https://t.co/ctoyJVBSG6",2020-02-11 23:58:34
43,BitGo Launches Enterprise-Grade Bitcoin Custody in Switzerland and Germany  https://t.co/XLQsOF7qmK https://t.co/kpdktzm1qQ,2020-02-11 23:58:32
44,"RT @Alpha_Token: 🚀#AirdropAlert🚀

👉2020 is starting off to have some #GAINZ for $A!!
 
...And we are making it #RAIN!

🪂#Retweet🪂

👉#Reply…",2020-02-11 23:58:24
45,"RT @derykmakgill: 'I do not feel the ABC project any longer represents my interest in keeping Bitcoin Cash an open, permissionless currency…",2020-02-11 23:58:20
46,"RT @BVBTC: The dollar isn’t just a medium of exchange. It’s a medium of control.

#Bitcoin isn’t just a store of value. 
It’s a medium of f…",2020-02-11 23:58:19
47,"Bitcoin whale moves $1.1 billion in bitcoins for an $80 fee
Bitcoin hasn't (yet) fulfilled its original promise of… https://t.co/8o9Ihd0m5T",2020-02-11 23:58:07
48,"RT @CaitlinLong_: ""It's a v interesting property--there's a huge asymmetry in cost btwn the creation &amp; verification.""--@adam3us discussing…",2020-02-11 23:58:07
49,"RT @paraticacom: Here is our most successful and profitable experts leaderboard on 
@binance
 ! 🏆

You don't need to worry about time, #bit…",2020-02-11 23:58:05
50,Ive asked 30 ppl around me and they have no idea what im talking about when i mention bitcoin cash - Vidteks https://t.co/rxke5Up2cG,2020-02-11 23:58:03
51,"RT @VentureCoinist: this is your friend at work after he buys his first Bitcoin:

😂📈 (via @stoolpresidente) https://t.co/YLZgRq4O6x",2020-02-11 23:58:02
52,"RT @Cointelegraph: #CNBC trader @BigCheds and analyst @CryptoWendyO explain why $BTC #Bitcoin and #altcoins have been flying lately, @benja…",2020-02-11 23:57:57
53,"RT @CryptosUs: StealthEX Interview with Oktoshi, Lead Dev of Okcash
https://t.co/eE7zjrHVyk
#Bitcoin #Okcash $OK $BTC $XBT #Altcoins #Excha…",2020-02-11 23:57:55
54,"RT @bitcoinvaluebot: Current Bitcoin Price
All Forks = $11034.52 📈 0.39%
--
$BTC = $10208.63 📈 0.34%
$BCH = $461.19 📈 0.35%
$BSV = $364.69…",2020-02-11 23:57:47
55,"RT @realmaxkeiser: Back in 2011, when #Bitcoin was $1, @KeiserReport started telling our global audience: ‘Bitcoin is the currency of resis…",2020-02-11 23:57:46
56,"RT @boy_xrp: This is why the maxis hate #XRP ... 
It already took over one use case and it will slowly creep up and genuinely take over the…",2020-02-11 23:57:45
57,"RT @lanchillaa: Want to get away?  
@terniotoken and @travalacom teamed up to help raise awareness for the upcoming #BlockCard 
launch in 3…",2020-02-11 23:57:38
58,"#bitcoin, CRA, and telemarketing scams in Metro Vancouver, Whistler and Squamish, and Vancouver Island… https://t.co/YijDcffI92",2020-02-11 23:57:38
59,"""Buy Bitcoin"" Google searches now at highest volume in past 12 months. https://t.co/UAezMsUAld",2020-02-11 23:57:35
60,"@Bitcoin Rewards are halving in may.
BTC value goes up.",2020-02-11 23:57:34
61,"Only 5% of the world owns even a fraction of a Bitcoin. Since the last ATH, new platforms and regulations have cont… https://t.co/etvsbLpyuu",2020-02-11 23:57:34
62,"RT @ArcIrisofficia1: 🚀 Arc-Iris Hydrogen Mining
We prodact the nature and mine cryptos more profitable💰💰 .
We mine cryptocurrencies eco-fri…",2020-02-11 23:57:33
63,"RT @JasonYanowitz: Live look at Bitcoin today:

                                    🌕
                                🚀…",2020-02-11 23:57:32
64,"RT @lanchillaa: Embrace a new era of digital securities on 
@Smartlands with UKSotheby's @UKSIR_

 https://t.co/IjkHRGltQ4

#Smartlands and…",2020-02-11 23:57:32
65,"Bitcoin, CRA, and telemarketing scams in Metro Vancouver, Whistler and Squamish, and Vancouver Island https://t.co/EWeDQzALlT",2020-02-11 23:57:32
66,"RT @Fullbeerbottle: Bitcoin is pumping, altcoins are pumping, and no one outside of the cryptocurrency community knows it yet. 

There’s no…",2020-02-11 23:57:32
67,"RT @ArcIrisofficia1: 🚀 Arc-Iris Hydrogen Mining
We prodact the nature and mine cryptos more profitable💰💰 .
We mine cryptocurrencies eco-fri…",2020-02-11 23:57:29
68,ConoraVirus:The World is in BIG TROUBLE as medical officials downplay the seriousness of this Engineered Virus… https://t.co/uG3KrhTDRD,2020-02-11 23:57:27
69,"Users of https://t.co/f0PvvlfQMW Exchange Can Win Rewards Worth $25,000 in Gocrypto Trading Competition - Bitcoin N… https://t.co/3yx23324jk",2020-02-11 23:57:24
70,"RT @RealCoinGeek: 🎉  The Crypto exchange #CoinEx just launched an exciting feature: perpetual contract for #BSV/USD markets! 🤑

 https://t.…",2020-02-11 23:57:22
71,"RT @lanchillaa: @Aion_OAN is both a Canadian multi-tier #blockchain 3.0 platform focused on interoperability between other blockchains, and…",2020-02-11 23:57:21
72,"[Bitcoin Surpasses $10300 On https://t.co/ZSNAfiZKbO]

As of 18:25 UTC, the price of Bitcoin has increased by 4.54.… https://t.co/3dl38BJfWp",2020-02-11 23:57:19
73,"Hourly price Update 🗣:
Bitcoin $BTC: 10225.95 $USDT
Ethereum $ETH: 236.82 $USDT",2020-02-11 23:57:19
74,"RT @VentureCoinist: this is your friend at work after he buys his first Bitcoin:

😂📈 (via @stoolpresidente) https://t.co/YLZgRq4O6x",2020-02-11 23:57:16
75,"RT @lanchillaa: Research: 
#Bethereum - @bethereumteam 
an award-winning social #betting platform aiming to leverage #Blockchain and #gamif…",2020-02-11 23:57:15
76,"RT @ArcIrisofficia1: 🚀 Arc-Iris Hydrogen Mining
We prodact the nature and mine cryptos more profitable💰💰 We mine cryptocurrencies eco-frien…",2020-02-11 23:57:13
77,"RT @lanchillaa: The recently enacted #Liechtenstein #Blockchain Act is the perfect legal framework for future offerings on 
@Smartlands 

I…",2020-02-11 23:57:08
78,"RT @ArcIrisofficia1: 🚀 Arc-Iris Hydrogen Mining
We prodact the nature and mine cryptos more profitable💰💰 We mine cryptocurrencies eco-frien…",2020-02-11 23:57:08
79,"RT @camq327: $LINK now $4.00! Amazing, but just getting started. Will be a $50 #crypto in 2020!  #Chainlink #bitcoin $HOT",2020-02-11 23:57:07
80,RT @cointradernik: Bitcoin has now lost dominance for 11 consecutive days. This has literally never happened before. The previous record fo…,2020-02-11 23:57:02
81,"RT @thecryptokidd: Welcome to the future of money.

Keep your #Bitcoin secure using the #BitcoinCash Register app or a simple QR code when…",2020-02-11 23:57:00
82,RT @cointradernik: Bitcoin has now lost dominance for 11 consecutive days. This has literally never happened before. The previous record fo…,2020-02-11 23:56:59
83,@JessixOW and @BrittanyVenti it’s all about bitcoin gold !!,2020-02-11 23:56:57
84,"RT @VentureCoinist: this is your friend at work after he buys his first Bitcoin:

😂📈 (via @stoolpresidente) https://t.co/YLZgRq4O6x",2020-02-11 23:56:49
85,"#Coinbase Set to Pass $8,400,000,000 #Bitcoin Value Milestone https://t.co/eUs76Ed1Qj #BTC $BTX @coinbase https://t.co/cYJm736Cpu",2020-02-11 23:56:49
86,"RT @ArcIrisofficia1: Trading Crypto currency is the beginning of financial freedom 💵💵
We mine cryptocurrencies eco-friendly and to the succ…",2020-02-11 23:56:48
87,MDABTC 12-2-2020 https://t.co/SVkdZ6FqOG #bitcoin,2020-02-11 23:56:44
88,"RT @APompliano: Bitcoin is up more than 40% year to date.

That is more than the S&amp;P or Dow Jones for all of 2019.

Stocks are being manipu…",2020-02-11 23:56:43
89,"RT @Cardanians_io: #Cardano is like Linux or modern Microsoft, with the difference that the project is owned and decentralized by $ADA coin…",2020-02-11 23:56:43
90,"RT @CryptoWendyO: The O Show with your daily dose of #crypto news and a #Bitcoin market update is live!

Topics:
North Korea is mining and…",2020-02-11 23:56:42
91,"#Bitcoin and #Crypto are the future of money, do not get left behind.",2020-02-11 23:56:42
92,"@APompliano Bitcoin is up 40% 🥱
Dash is up 222% 🔥",2020-02-11 23:56:42
93,"RT @JohnTodaro1: The number of days in each year #Bitcoin has traded above $10,000. 

2017 - 34
2018 - 52
2019 - 86
2020 (so far) - 2",2020-02-11 23:56:38
94,"RT @rogerkver: There was a time before the censorship, lies, blacklisting and propaganda where big-block Bitcoin was the consensus position…",2020-02-11 23:56:33
95,"@MartyBent Marty, don't be alarmed it's just the way it works since the Vikings &amp; Romans created the system, let me… https://t.co/RuavWW6Lwm",2020-02-11 23:56:32
96,"RT @APompliano: Bitcoin is up more than 40% year to date.

That is more than the S&amp;P or Dow Jones for all of 2019.

Stocks are being manipu…",2020-02-11 23:56:30
97,"RT @BitcoinMktJrnl: FREE download: learn how blockchain building can help turn your blockchain venture into a success story.

https://t.co/…",2020-02-11 23:56:29
98,RT @Reuters: Crypto asset manager sees bitcoin mining shift from China to North America https://t.co/bajMaNfNI4 https://t.co/ICQWaq1o0M,2020-02-11 23:56:26
99,"$LINK now $4.00! Amazing, but just getting started. Will be a $50 #crypto in 2020!  #Chainlink #bitcoin $HOT",2020-02-11 23:56:25
100,"Investment Portfolio With 3% Bitcoin Allocation Has Highest Returns: VanEck Report

Investment management firm VanE… https://t.co/HCQJvbBCdE",2020-02-10 23:59:59
101,RT @fundstrat: @JTornbury @PowerLunch Dow to $30k.  #bitcoin to $40k,2020-02-10 23:59:49
102,"RT @CryptoWhale: 🎁 5 BITCOIN GIVEAWAY 🎁

I’m giving away 5 $BTC to a random follower of mine! I love giving back to my supporters! 

Instru…",2020-02-10 23:59:45
103,RT @CryptoCharles__: Honestly can’t tell if my entire crypto portfolio is one giant meme or the future of finance. Coin toss at this point…,2020-02-10 23:59:41
104,"RT @CryptoWhale: Bitcoin bounced on logarithmic support in December and will likely continue moving upwards. 

The bull market will remain…",2020-02-10 23:59:41
105,@TruthRaiderHQ @Visa @Mastercard @lightning @starkness @winklevoss @rogerkver @Excellion @adam3us @justinsuntron… https://t.co/5Vr07ZsTGY,2020-02-10 23:59:39
106,"RT @OkcashCrypto: Pushing Crypto Adoption Forward to empower the users!
Thanks to everyone involved in the ROKOS Bitcoin / Crypto Full node…",2020-02-10 23:59:29
107,The President of the European Central Bank has had to tell other members to put their phones away during meetings.… https://t.co/nZ1Gv6ADJW,2020-02-10 23:59:24
108,"RT @MangoFarmAssets: Online voting isn’t complicated.  Satoshi’s Bitcoin is far more secure than the vote you cast in the last election, an…",2020-02-10 23:59:23
109,"RT @hodlonaut: Retweet if you agree it's time for @joerogan to bring on a Bitcoiner again. 

Since the last time Andreas was there, the wor…",2020-02-10 23:59:22
110,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/Oy1OLf7Lyb,2020-02-10 23:59:21
111,ENS Registry Migration Is Over… Now What? A Few Things to Know https://t.co/SXsZcXbJni #bitcoin https://t.co/NMYI557e1P,2020-02-10 23:59:20
112,"RT @ZclassicCoin: Are you a Developer interested in Crypto and #Bitcoin?

- On-chain Tokens
- Best in Class Zero Knowledge Privacy
- Mobile…",2020-02-10 23:59:18
113,"⬇️ Seller alert: 64 $BTC sold into the bid @ 9865
  https://t.co/iMB1mj8Cs1 👈 #Bitcoin #crypto",2020-02-10 23:59:17
114,"Google Searches for Bitcoin Surge, up 33% in Past Week - BeInCrypto via BTCnews on iOS  https://t.co/H33s8SbnZp",2020-02-10 23:59:17
115,"RT @CryptoWhale: Bitcoin bounced on logarithmic support in December and will likely continue moving upwards. 

The bull market will remain…",2020-02-10 23:59:16
116,RT @NexusOfficial: We would like to give @BitShills a big thank you for writing 'Nexus Blockchain – A Guide for Beginners’ https://t.co/ARy…,2020-02-10 23:59:15
117,"#Bitcoin 📈 

▓▓▓▓▓▓▓▓░░░░░░░ 50%

 price: $9864.675",2020-02-10 23:59:09
118,"RT @BitcoincomGames: Win from $1000 in ✨Games Stars✨ leaderboard every week!

🌟🌟🌟https://t.co/u3gaIoTK9N🌟🌟🌟

Now available for our exclusiv…",2020-02-10 23:59:08
119,"RT @TruthRaiderHQ: Retweet if you think the #TRON network has the strongest altcoin community on twitter next to #bitcoin 

@justinsuntron…",2020-02-10 23:59:06
120,RT @arrangedchaos: Great video @StevenAitchison &amp; i agree 💯 with your opinion of Dcode &amp; how it will benefit $dag with the accelerator prog…,2020-02-10 23:59:03
121,"What if I believed in Bitcoin about 9 years ago, and I bought it instead of spending $50 per week for a new unneces… https://t.co/DfRRaGKAf6",2020-02-10 23:59:02
122,"@TradingDime Actually a real scenario for me

5-10% gold allocation immediately. No questions asked

5% liquidity d… https://t.co/hObUCP27yq",2020-02-10 23:59:00
123,RT @MorCryptoEx: IEO is now live on @VinDAXOfficial and will end in 48 hours! #trade #token #salespromoter #ieo #bitcoin #eth #cryptocurren…,2020-02-10 23:59:00
124,"Ready or not here we come 
#btc #Bitcoin #xrp #XRPCommunity #xrpthestandard #finance #coronvirus #SaferInternetDay… https://t.co/y9L8ZlWKM6",2020-02-10 23:58:55
125,"RT @TruthRaiderHQ: Retweet if you think the #TRON network has the strongest altcoin community on twitter next to #bitcoin 

@justinsuntron…",2020-02-10 23:58:47
126,"Investment Portfolio With 3% Bitcoin Allocation Has Highest Returns: VanEck Report

Investment management firm VanE… https://t.co/87hZt5jN92",2020-02-10 23:58:45
127,"RT @blocksroad: Liquid TRON $TRX was issued on liquid assets https://t.co/d8OMvHCp9j by https://t.co/kuqCpSivuX 
@Blockstream
 #adoption #b…",2020-02-10 23:58:45
128,RT @fundstrat: @JTornbury @PowerLunch Dow to $30k.  #bitcoin to $40k,2020-02-10 23:58:41
129,RT @NexusOfficial: We would like to give @BitShills a big thank you for writing 'Nexus Blockchain – A Guide for Beginners’ https://t.co/ARy…,2020-02-10 23:58:38
130,"RT @bloqport: $100 Bitcoin Giveaway:

To celebrate reaching 5,000 followers and #Bitcoin smashing $10,000 we're giving away some #BTC

Rule…",2020-02-10 23:58:36
131,"@YujiNanaya Well, no, but just remembering him isn’t going to make him come back to run Bitcoin again.",2020-02-10 23:58:33
132,"RT @TruthRaiderHQ: Retweet if you think the #TRON network has the strongest altcoin community on twitter next to #bitcoin 

@justinsuntron…",2020-02-10 23:58:33
133,"#Faketoshi is now going one step further with his #fraud and informs us that #ETH is also a #Bitcoin #fork 

The mo… https://t.co/NgqG7I9GCk",2020-02-10 23:58:32
134,"RT @digitalassetbuy: XRP :Only 100 Billion 
Bitcoin: Only 21 Million
XRP: 3 Seconds
Bitcoin 30+ Minutes
Both Have The Scarcity Needed to Be…",2020-02-10 23:58:31
135,"RT @joytuai: can bloods use bitcoin?
I mean it’s literally crip-to currency",2020-02-10 23:58:31
136,"RT @three_cube: Been Hacked? Cyber Bullied? Cheating Spouse? Bitcoin Stolen? Online Reputation Damaged?

Hire a Digital Forensics Investiga…",2020-02-10 23:58:30
137,RT @WeissCrypto: #Bitcoin took a dive after the longest daily winning run since September. We can already see Peter Schiff write yet anothe…,2020-02-10 23:58:26
138,@udiWertheimer @Bitcoin 's ass 🍻,2020-02-10 23:58:21
139,RT @diopfode: The #DakarBitcoinDevs meetup is quickly becoming the hottest and most advanced #Bitcoin and #LightningNetwork developers grou…,2020-02-10 23:58:20
140,"RT @WhalePanda: Bitcoin fixes this.
https://t.co/X7AZAnEyZt",2020-02-10 23:58:19
141,"RT @AssetsDaily: 40 applications: German banks want to custody Bitcoin, Ethereum, Ripple. https://t.co/WLGf4ZusGd",2020-02-10 23:58:17
142,"Don't get me wrong, Bitcoin is great for trading and holding, but people are delusional if they believe it will eve… https://t.co/KmgdG6R7JO",2020-02-10 23:58:17
143,"RT @BTCSocialist: @richardbensberg @Tether_to Nice work, Where's the git at? #M5StackSats is here for anyone who fancies building a cheap #…",2020-02-10 23:58:15
144,"RT @BTCstJournal: Bitcoin GIF Image bitcoin, cryptocurrency, crypto, solo, gosolo, sologenic, coinfield, solo coin, go solo, bob ras, bobra…",2020-02-10 23:58:12
145,"RT @cryptocom: 1⃣more day till 2020 - the year of the next Bitcoin Halving!
Guess $BTC/USDT price on Halving Day 12:00 UTC right &amp; win 1 $B…",2020-02-10 23:58:09
146,"RT @MyLegacyKit: This is the most adequate quoting I've had this year.

Hat tip to @CSWisAFraud for coining ""Genesis downgrade"" that I'm us…",2020-02-10 23:58:08
147,"Bitcoin GIF Image bitcoin, cryptocurrency, crypto, solo, gosolo, sologenic, coinfield, solo coin, go solo, bob ras,… https://t.co/rG7IMm94A1",2020-02-10 23:58:07
148,"RT @fundstrat: Best evidence that #bitcoin is in a bull market is the denial by those with no exposure...

#BTFD 

good chatting with @Kell…",2020-02-10 23:58:05
149,"RT @OkcashCrypto: Pushing Crypto Adoption Forward to empower the users!
Thanks to everyone involved in the ROKOS Bitcoin / Crypto Full node…",2020-02-10 23:58:03
150,"RT @Bitsahara: 0.001 BTC #Giveaway !

🔸RT &amp; Follow @Bitsahara
🔸Tag Friends!
🔸Download https://t.co/pE8DZE0aKL to receive!

1 WINNER in 48 H…",2020-02-10 23:58:01
151,"Investment Portfolio With 3% Bitcoin Allocation Has Highest Returns: VanEck Report

Investment management firm VanE… https://t.co/pWWsjvh6Hz",2020-02-10 23:57:58
152,RT @filbfilb: #Bitcoin  Is trading above all MAs worth looking at on the Daily and Weekly TFs. https://t.co/FBQGDyyNcK,2020-02-10 23:57:55
153,I would be so curious about UX research on existing Bitcoin wallets here. https://t.co/rJkvqFb2ZC,2020-02-10 23:57:54
154,Definition of a Cryptocurrency Fork; Why Are They Necessary? - The Bitcoin Street Journal https://t.co/vBXvRm86n5 #bitcoin,2020-02-10 23:57:50
155,"RT @BitcoinMemeHub: To celebrate 10k followers, @BitcoinMemeHub is planning a $20m free cash airdrop. Good news-it's coming, bad news-I may…",2020-02-10 23:57:50
156,"RT @BVBTC: The US Dollar and every other failing fiat currency exist because governments say so, and people use them because until now they…",2020-02-10 23:57:50
157,"@Twit35875898 @fundstrat @PowerLunch Like gold, only you can carry it anywhere.  It will serve like the GLD ETF as… https://t.co/V8aoIOn1SY",2020-02-10 23:57:48
158,@CryptoKman @AlexSaundersAU Trading $LTC is an excellent way to accumulate more $BTC without the pump and dump of sh!tcoins #bitcoin,2020-02-10 23:57:41
159,"RT @lopp: Bitcoin is creating a new class of high net worth individuals who will reshape the world via entrepreneurship, investment, and ph…",2020-02-10 23:57:38
160,"RT @TruthRaiderHQ: Retweet if you think the #TRON network has the strongest altcoin community on twitter next to #bitcoin 

@justinsuntron…",2020-02-10 23:57:36
161,"Bitcoin, Ether, and XRP Weekly Market Update February 10, 2020 https://t.co/rIeJLglMGm https://t.co/05DO3qN3Ag",2020-02-10 23:57:33
162,@hiker_ix @SirToshiTV @CaptinBitcoin Do this Captain Kirt @WilliamShatner. Download one of the best Bitcoin BSV mob… https://t.co/3rOxvQO6zb,2020-02-10 23:57:33
163,"RT @bloqport: Just like all giveaways, we're also going to DM 5 people $25 worth of Bitcoin! 🔥

All you have to do is go to our profile and…",2020-02-10 23:57:32
164,"RT @OkcashCrypto: Pushing Crypto Adoption Forward to empower the users!
Thanks to everyone involved in the ROKOS Bitcoin / Crypto Full node…",2020-02-10 23:57:32
165,"RT @nebraskangooner: #bitcoin 

#XTZ #ZRX #XLM #BAT 

Market update along with some educational material mixed in.

Retweets are always app…",2020-02-10 23:57:31
166,"RT @Bitsahara: #Bitcoin transactions on Lightning are Faster &amp; Cheaper!

RT for 10,000 Sats!

5 Winners in 3 Hours!⚡️

#LightningNetwork #S…",2020-02-10 23:57:29
167,"@CasaHODL @stacyherbert Curious, how much bitcoin would you feel comfortable storing on your multisig? Phone is one… https://t.co/R8wX5dZj6y",2020-02-10 23:57:28
168,RT @adam3us: mini-battery powered m5stack point of sale terminal accepting L-USDt @Tether_to on #LiquidNetwork using @BtcpayServer so much…,2020-02-10 23:57:26
169,Thanks everyone!~~See y’all next year!&gt;&gt;&gt;LONG live kingcoin! @bitcoin Happy #mardiGras!! #bitcoinsocialstroll… https://t.co/6OeQOOJsDK,2020-02-10 23:57:22
170,RT @Breedlove22: Principle of Timelessness: Money retains value based on its relative scarcity; this is why gold remains global prime money…,2020-02-10 23:57:21
171,"RT @trylolli: just landed a massive new merchant partner!

let's celebrate

who wants some free bitcoin?",2020-02-10 23:57:14
172,"RT @CryptoPussyCash: TARGET GIVEAWAY 

TARGET:6000 FOLLOWERS
TIME:24 HOURS

1000$ IN #Bitcoin #BTC PRIZE

Retweet this
Follow @CryptoPussyC…",2020-02-10 23:57:10
173,"RT @fundstrat: Best evidence that #bitcoin is in a bull market is the denial by those with no exposure...

#BTFD 

good chatting with @Kell…",2020-02-10 23:57:05
174,"RT @TheCryptoCandy: If #Crypto was a Pokémon game, which one would you choose?

#Bitcoin $BTC
#Litecoin $LTC
#DigiByte $DGB https://t.co/c8…",2020-02-10 23:57:04
175,"RT @TronWalletMe: 🤳🏽 #TronWallet To Add #Ethereum On its Platform in a Bid to Unite #Crypto Sphere 🌐

""@TronWalletme, a P2P multi-currency…",2020-02-10 23:57:02
176,"《Thank you for your virtual currency support m (__) m》

https://t.co/y6cuk3UM6h

#bitcoin
#BTC
#ETH
#follow
#followforfollow
#f4f
#doge",2020-02-10 23:57:01
177,"BTC/USD | $BTCUSD | $BTC $USD

Bitcoin Neutral with a Bullish Bias

Long or short it with BTC on Trade8:… https://t.co/gJzGu0h2St",2020-02-10 23:57:01
